pack,file_count,total_bytes,promotion_recommendation,license_confidence,license_statuses,top_categories
bots-and-bolts-robot-0b4b52d5174a,350,808122,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required,"sprite_or_character:348, license_or_readme:1, source_art:1"
dungeon-pack-free-version-1dac9c624af1,234,14921453,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required;unknown_review_required,"tileset:141, sprite_or_character:88, license_or_readme:2, metadata:2"
farming-pack-free-version-0d25b506f7b5,211,11622118,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required;unknown_review_required,"tileset:118, sprite_or_character:88, license_or_readme:2, metadata:2"
exterior-pack-free-version-89fca2d76b14,162,10905447,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required,"tileset:139, sprite_or_character:20, image_uncategorized:1, license_or_readme:1"
character-pack-full-version-f1cc2853099b,137,362820,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required,"sprite_or_character:104, metadata:32, license_or_readme:1"
overworld-pack-free-version-e2e019f48719,90,5242406,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required,"tileset:67, sprite_or_character:20, image_uncategorized:1, license_or_readme:1"
package-marketplace-week40-0ff0c5f1aa47,76,16111765,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required;unknown_review_required,"image_uncategorized:42, sprite_or_character:20, tileset:12, license_or_readme:2"
gigantic-tree-pack-free-version-5157ac448182,35,2857446,candidate_review,reviewable_license_text_present,commercial_use_stated_review_required,"sprite_or_character:20, tileset:12, image_uncategorized:1, license_or_readme:1"
isometric-tiles-town-pack-example-4598c75444ea,5,22991,candidate_review,reviewable_permissive_evidence,permissive_cc0_or_public_domain,"map_or_tileset_data:4, license_or_readme:1"
sbs-cubemap-splitter-61b2c81e11ae,3,25891358,candidate_review,reviewable_permissive_evidence,permissive_cc0_or_public_domain,"license_or_readme:2, binary_or_tool:1"
amir-forest-nature-pack-ec5f0fa5296f,502,53177316,hold_quarantine,needs_source_or_license_notes,,model_3d:502
rpg-effect-all-free-e5df337cf191,273,67948801,hold_quarantine,needs_source_or_license_notes,,vfx:273
armorr-all-56b78f4c5128,220,1596553,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:220
100-character-head-sprites-pixel-art-asset-pack-890709438d67,215,1101961,hold_quarantine,needs_source_or_license_notes,,sprite_or_character:215
character-generator-aef4f7ee8881,203,1844106,hold_quarantine,needs_source_or_license_notes,,"sprite_or_character:201, source_art:2"
car-and-tank-part-all-a8cfc3e788ac,200,595501,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:200
effect-and-fx-pixel-all-free-bb00acab48b9,196,29449154,hold_quarantine,needs_source_or_license_notes,,vfx:196
starter-tiles-platformer-e8a5cad5b8c1,179,81917,hold_quarantine,needs_source_or_license_notes,,tileset:179
170-block-textures-pixel-art-asset-pack-dcab0df71260,173,668463,hold_quarantine,needs_source_or_license_notes,,"image_uncategorized:168, tileset:5"
100-cars-vehicles-pixel-art-pack-c51bfaba9e18,124,894244,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:124
pixel-avatar-frame-all-268d1c795b91,100,534496,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:100
pixel-gate-all-2dd2925080a7,100,913993,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:100
pixel-ui-icon-all-0110ed186696,100,376508,hold_quarantine,needs_source_or_license_notes,,ui:100
90-fishing-pixel-art-icons-5bf6daa1f748,90,83956,hold_quarantine,needs_source_or_license_notes,,"ui:89, sprite_or_character:1"
medal-icon-all-87736d39a2d4,80,531326,hold_quarantine,needs_source_or_license_notes,,ui:80
treasure-mirror-all-ac156882c17d,80,351901,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:80
philippine-mythological-creature-sprites-f55b219b6145,74,544322,hold_quarantine,needs_source_or_license_notes,,sprite_or_character:74
shader-cylinder-64x96-all-free-b444f61fcd48,66,33415144,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:66
48x48-shader-slash-free-0a3af61216f8,65,12424748,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:65
trap-and-weapon-c0c5bfe3897b,64,403794,hold_quarantine,needs_source_or_license_notes,,"image_uncategorized:63, nested_archive:1"
environment-decor-all-eee509a21e3f,60,475123,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:60
pixel-tree-all-6a9f77ccfbc9,60,395205,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:60
retro-impact-effect-pack-all-2c0bb95415b8,60,6002451,hold_quarantine,needs_source_or_license_notes,,vfx:60
fantasy-structures-props-pixel-art-asset-pack-3bcd7adbf62e,56,1566808,hold_quarantine,needs_source_or_license_notes,,"image_uncategorized:54, ui:2"
alchemy-cauldrons-pixel-art-asset-pack-fe3e5092b2b7,53,132257,hold_quarantine,needs_source_or_license_notes,,"image_uncategorized:36, ui:17"
64x64-explo-and-power-free-c269ced7094c,52,20402660,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:52
medievalfantasyadventurersprites-74041fa6864e,51,204413,hold_quarantine,needs_source_or_license_notes,,"sprite_or_character:48, tileset:3"
trap-e6da1fdf15a0,44,781621,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:44
dark-rpg-gui-kit-pixel-art-asset-pack-c4fe646cab4e,43,264676,hold_quarantine,needs_source_or_license_notes,,"ui:39, portrait:3, sprite_or_character:1"
500-bullet-24x24-free-f00d92cd6bd0,41,9477596,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:41
72-character-free-74b75dec4ddb,37,3840762,hold_quarantine,needs_source_or_license_notes,,sprite_or_character:37
junkyard-heroes-0cc3b1a72f2f,36,17142385,hold_quarantine,needs_source_or_license_notes,,"image_uncategorized:14, sprite_or_character:14, audio_music_or_ambient:4, portrait:4"
super-package-retro-pixel-effects-32x32-pack-2-free-1b098753cbd0,36,236972,hold_quarantine,needs_source_or_license_notes,,vfx:36
custom-border-and-panels-menu-all-part-34b7570151bb,35,4414121,hold_quarantine,needs_source_or_license_notes,,ui:35
super-retro-world-interior-pack-week42-d44d3f002d48,32,8387709,hold_quarantine,reviewable_license_text_present,unknown_review_required,"image_uncategorized:24, tileset:6, license_or_readme:1, nested_archive:1"
high-fantasy-heroes-ba708b186ecc,25,4616809,hold_quarantine,needs_source_or_license_notes,,"sprite_or_character:12, image_uncategorized:9, portrait:4"
cat-pixel-mega-pack-44e9b7faf009,24,40593,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:24
puny-characters-861ad0bfcff9,24,560581,hold_quarantine,needs_source_or_license_notes,,sprite_or_character:24
bomb-trio-15a9a5f617ca,22,1877028,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:22
